speed,length,tem,y
9.875,125.733,1445.25,104.15
7.75,125.88,1445,104.165
8.75,126.026,1444.875,104.199
7.375,126.161,1444.625,104.183
7.375,126.275,1446.25,104.151
8.5,126.408,1444.875,104.171
6.375,126.55,1445.25,104.148
8.625,126.678,1443.75,104.16
7.875,126.796,1443.75,104.139
8.125,126.936,1444.875,104.156
6.75,127.055,1444.5,104.11
6,127.164,1444.125,104.076
6.625,127.28,1444.125,104.091
6.5,127.385,1444.25,104.078
8.125,127.499,1444.375,104.104
8,127.629,1444.375,104.105
8.625,127.752,1444.75,104.132
9.5,127.904,1445.5,104.18
6.75,128.032,1444.5,104.135
6.125,128.139,1444.375,104.084
9.75,128.253,1446.25,104.135
8.125,128.404,1445.125,104.15
8.25,128.525,1445.75,104.138
8.25,128.653,1444.875,104.141
7.125,128.769,1446.625,104.116
8.75,128.916,1446,104.168
6.25,129.032,1444.875,104.108
4.625,129.125,1444.625,104.036
3.5,129.207,1444.5,103.977
4.75,129.293,1444.75,103.976
3.75,129.379,1444.5,103.936
5.625,129.458,1444.875,103.953
5.625,129.556,1444.875,103.961
7.125,129.691,1445.75,104.009
5.375,129.746,1444.625,103.979
6.375,129.832,1444.5,103.99
7.5,129.925,1444.875,104.019
6,130.037,1444.75,104.019
6.125,130.142,1445.25,104.031
6.25,130.244,1444.625,104.029
8.25,130.374,1445.625,104.091
7.5,130.495,1444.625,104.078
7.25,130.67,1444.75,104.093
6.375,130.735,1444.5,104.06
9.75,130.865,1446.75,104.12
5.5,130.984,1444.75,104.057
7.5,131.086,1444.875,104.074
9.125,131.214,1445.375,104.111
6.75,131.342,1444.875,104.1
6.25,131.456,1444.75,104.085
7.375,131.589,1445.625,104.118
6.625,131.712,1445,104.098
6.5,131.833,1444.625,104.082
6.625,131.947,1444.625,104.066
6.125,132.059,1444.875,104.029
7.5,132.157,1444.25,104.032
8.75,132.268,1444.5,104.059
9.375,132.399,1444.875,104.106
8.375,132.534,1444.875,104.112
6.75,132.664,1444.5,104.099
6.75,132.778,1444.75,104.093
7.25,132.908,1444.75,104.1
7.375,133.027,1444.75,104.093
7.625,133.176,1445.5,104.128
8,133.311,1444.5,104.128
8.375,133.446,1444.125,104.13
9.625,133.602,1446.125,104.206
7.75,133.734,1444.75,104.145
9.125,133.869,1444.5,104.145
10.25,134.009,1445.625,104.175
8.875,134.165,1445.125,104.185
9.875,134.311,1444.625,104.208
